x,y
9.589232579044990416e+03,1.522548660626331002e+04
9.744358246905170745e+03,1.545904084142784995e+04
9.903545244458802699e+03,1.568963061066645423e+04
1.006523537650522485e+04,1.591838847624736263e+04
1.022914348724366573e+04,1.614547173770288100e+04
1.039669232060597096e+04,1.636974501641710776e+04
1.057068226215028517e+04,1.658903572917948259e+04
1.075194831016348144e+04,1.680269795700892064e+04
1.093921512221691046e+04,1.701171825029120737e+04
1.112942727327273315e+04,1.721846015522551534e+04
1.132127545378396644e+04,1.742367130653487038e+04
1.151546728774437361e+04,1.762616999171105272e+04
1.171461724665300426e+04,1.782293030886577981e+04
1.192022872979260865e+04,1.801221227394102971e+04
1.213259866949789284e+04,1.819336782657752337e+04
1.235138574605978829e+04,1.836594198276191673e+04
1.257768322312473174e+04,1.852727380444873779e+04
1.281268022359056522e+04,1.867495899648555860e+04
1.305595708489375102e+04,1.880954644867152092e+04
1.330479441387627412e+04,1.893533791254997777e+04
1.355605344698950466e+04,1.905729853297310547e+04
1.380788069500699930e+04,1.917836030604341431e+04
1.405970794302449212e+04,1.929942207911371952e+04
1.431174467909350460e+04,1.941928940086634611e+04
1.456450732260018958e+04,1.953501777011474769e+04
1.481881922426532583e+04,1.964191263580351006e+04
1.507518220198978270e+04,1.973711275096137615e+04
1.533348421100515407e+04,1.982125696835483905e+04
1.559299934387376743e+04,1.989848424048812012e+04
1.585268984085553711e+04,1.997462096714889049e+04
1.611148595445367209e+04,2.005558181217841411e+04
1.636828594941467418e+04,2.014736970347156966e+04
1.662272597603994291e+04,2.025195817979827916e+04
1.687552366266007084e+04,2.036682682297574866e+04
1.712854816173213112e+04,2.048481942173730931e+04
1.738384078847655837e+04,2.059945607622868556e+04
1.764236670542670254e+04,2.070758802260248922e+04
1.790380478413696619e+04,2.080982314141164898e+04
1.816687405897051212e+04,2.090875525611066041e+04
1.843055711194243850e+04,2.100644453330848773e+04
1.869431021101164879e+04,2.110399197437518160e+04
1.895806331008086636e+04,2.120153941544187546e+04
1.922181640915008393e+04,2.129908685650856933e+04
1.948556950821930150e+04,2.139663429757526319e+04
1.974932260728851543e+04,2.149418173864195705e+04
2.001307570635773300e+04,2.159172917970865092e+04
2.027682880542694693e+04,2.168927662077534478e+04
2.054058190449615722e+04,2.178682406184203865e+04
2.080433500356537479e+04,2.188437150290873251e+04
2.106808810263459236e+04,2.198191894397542637e+04
2.133184120170380993e+04,2.207946638504212024e+04
2.159559430077302386e+04,2.217701382610881774e+04
2.185934739984224143e+04,2.227456126717551160e+04
2.212310049891145900e+04,2.237210870824220547e+04
2.238685359798067293e+04,2.246965614930889933e+04
2.265064776468015043e+04,2.256705096493765814e+04
2.291478600187554912e+04,2.266316706275925026e+04
2.317983324766789156e+04,2.275590488347316204e+04
2.344649317250278909e+04,2.284264927716140301e+04
2.371494557635509409e+04,2.292273202776856488e+04
2.398492568582317836e+04,2.299683149291040900e+04
2.425605568095968920e+04,2.306493750204441312e+04
2.452850729808686810e+04,2.312388883198967596e+04
2.480276393851367538e+04,2.316917428750110776e+04
2.507895462908575064e+04,2.319981700325441125e+04
2.535663315458026409e+04,2.321919528533943594e+04
2.563470722785517501e+04,2.323068745146182118e+04
2.591200231198112306e+04,2.323243425722775282e+04
2.618726162024146834e+04,2.321733889614398140e+04
2.645999298243900193e+04,2.318132959748181383e+04
2.673044397001956531e+04,2.312645454329726635e+04
2.699960189607203574e+04,2.306088186843111180e+04
2.726826765192729727e+04,2.299123742283625688e+04
2.753608038447364015e+04,2.291918455312187507e+04
2.780115068844854250e+04,2.284054282360653087e+04
2.806036932757233080e+04,2.274784209554237532e+04
2.831073156118498810e+04,2.263507989146463296e+04
2.854997659455900430e+04,2.249976184987034867e+04
2.877658757889937624e+04,2.234290172521836575e+04
2.899075332222328507e+04,2.216768214809357960e+04
2.919465078467075000e+04,2.197862093485199148e+04
2.939244507850465016e+04,2.178157108762068310e+04
2.958634074298329142e+04,2.158065341518960486e+04
2.977431409445001555e+04,2.137679114447038228e+04
2.995011322633321470e+04,2.116770992049630149e+04
3.010858025407751848e+04,2.095119861521898201e+04
3.024986690550532148e+04,2.072732227267734561e+04
3.038068606000000000e+04,2.049895863000000099e+04
