x,y
2.495807635091741759e+04,2.277609887558752598e+04
2.523101475862335428e+04,2.276808801489564576e+04
2.550389155939762350e+04,2.275428633944235844e+04
2.577595404982565015e+04,2.273374779724919426e+04
2.604700536182855649e+04,2.270484368002466726e+04
2.631714452398466892e+04,2.266839326059119412e+04
2.658676646152955072e+04,2.262766379288507233e+04
2.685619153099554751e+04,2.258530561688747184e+04
2.712432514279268435e+04,2.253970103890042810e+04
2.738807086887550031e+04,2.248355428523184673e+04
2.764245393119654909e+04,2.240491313388516937e+04
2.788400167739694007e+04,2.229592095732406960e+04
2.811231986868110471e+04,2.215680550855274123e+04
2.833009267981677476e+04,2.199587892111586916e+04
2.854061663845098519e+04,2.182215291613946465e+04
2.874659311548476398e+04,2.164183272198007398e+04
2.895012832507311759e+04,2.145831707422480031e+04
2.915210408291936619e+04,2.127325429638961214e+04
2.935171091556084502e+04,2.108701367923917132e+04
2.954644806036891532e+04,2.089868548078678577e+04
2.973425236352142747e+04,2.070738524981310184e+04
2.991518451614733567e+04,2.051313900393369477e+04
3.009192967000000135e+04,2.031709783800000150e+04
